,10,50,100,500,1000
S,0.382861251195658,0.3873805089041121,0.39054115605496253,0.41373046125045115,0.4393416912337391
SE,0.6005328231340792,0.6350998301404912,0.6495056409957698,0.6853209591882287,0.7145416716336654
I,0.2842114137148009,0.2809195220087124,0.2840134024459047,0.3031829703307695,0.32345003001871
IE,0.28448087401580074,0.28128458632461917,0.28450140311808914,0.30359658206234696,0.32382687529394116
IS,0.2712693628209912,0.26973065718047634,0.2722897153385024,0.2896256573381043,0.30962598177932626
ISE,0.2770542610489155,0.275708392310452,0.278464902570769,0.29657776051172036,0.31672834733263117
IDE,0.29174080234863536,0.2884755126466267,0.2915649047711836,0.3109673668193707,0.33086712197066537
ID,0.29040192006071947,0.2872582826137292,0.29076584051520105,0.30999244199134757,0.3299006383715338
IDS,0.271675198496006,0.2702717157030632,0.27317122058128834,0.2908761772281955,0.31088756068077833
IDSE,0.2849766157222297,0.2818592869561677,0.28479753912264694,0.3023218308960117,0.32282029315992444
